id;agent;tema;regel_or_source_topic;kilde;dato_versjon;praktisk_betydning_for_tilbud;risiko;ma_fagverifiseres;change_marker;notater
REG-001;Regelverksagent;Anskaffelsesloven;Lov om offentlige anskaffelser som primærregelverk;https://lovdata.no/dokument/NL/lov/2016-06-17-73;Lov 2016-06-17 nr. 73, DFØ-side oppdatert 2026-06-11;Gir grunnprinsipper, virkeområde, samfunnshensyn og overordnet ramme for offentlige tilbud;Høy, lovendringer er vedtatt og noen elementer trer ikke i kraft samtidig;ja;2026-07-01;Kontroller gjeldende Lovdata-tekst og overgangsregler
REG-002;Regelverksagent;Anskaffelsesforskriften FOA;Forskrift om offentlige anskaffelser;https://lovdata.no/dokument/SF/forskrift/2016-08-12-974;Forskrift 2016-08-12 nr. 974, DFØ varsler oppdatert veiledning 2026-07-01;Styrer konkurransegrunnlag, prosedyrer, kvalifikasjon, tildeling, avvisning, karens og dokumentasjon;Høy, feil regelversjon eller feil forskriftsdel kan gi avvisnings- eller klagerisiko;ja;2026-07-01;Må knyttes til terskelverdi og kunngjøringstidspunkt
REG-003;Regelverksagent;Forsyningsforskriften;Innkjøpsregler i forsyningssektorene;https://lovdata.no/dokument/SF/forskrift/2016-08-12-975;Forskrift 2016-08-12 nr. 975;Relevant når oppdragsgiver opererer i vann, energi, transport eller post;Høy ved feil klassifisering av oppdragsgiver eller aktivitet;ja;2026-07-01;Andre terskler og prosedyrer kan gjelde
REG-004;Regelverksagent;Konsesjonskontraktforskriften;Konsesjonskontrakter for tjenester og bygge- og anleggsarbeid;https://lovdata.no/dokument/SF/forskrift/2016-08-12-976;Forskrift 2016-08-12 nr. 976;Relevant når vederlag eller risiko ligger i utnyttelse av tjeneste eller bygg/anlegg;Høy ved feil skille mellom ordinær kontrakt og konsesjon;ja;2026-07-01;Krever konkret kontraktsvurdering
REG-005;Regelverksagent;Lov og forskrifter;DFØ oversikt over lov og forskrifter om offentlige anskaffelser;https://www.anskaffelser.no/nn/anskaffelsesregelverk/lov-og-forskrifter-om-offentlege-anskaffingar;Oppdatert 2026-06-11;God inngang til regelverk og varslede endringer;Høy, veiledningsside må ikke erstatte Lovdata;ja;2026-07-01;Markerer innslagspunkt 500 000 kroner ekskl. mva. fra 2026-07-01
REG-006;Regelverksagent;Terskelverdier;Nasjonale terskler og EØS-terskler;https://www.anskaffelser.no/anskaffelsesregelverk/terskelverdier-offentlige-anskaffelser;Oppdatert 2026-04-22, EØS-terskler fra 2026-04-21;Avgjør kunngjøring, prosedyre og dokumentasjonsnivå;Høy, feil beregnet anskaffelsesverdi kan gi feil regelsett;ja;2026-07-01;Alle verdier må behandles ekskl. mva.
REG-007;Regelverksagent;EØS-terskelverdier 2026;DFØ PDF med nye EØS-terskelverdier;https://www.anskaffelser.no/sites/default/files/2026-04/oversikt-nye-eos-terskelverdier.pdf;Gjelder fra 2026-04-21;Gir konkrete beløp for varer, tjenester, bygg/anlegg, forsyning og konsesjon;Middels/høy, beløp må kobles til riktig forskrift og kontraktstype;ja;;Bygg/anlegg oppgitt til 62,9 mill. i kartleggingen
REG-008;Regelverksagent;Anskaffelsesprosedyrer;Oversikt over formelle prosedyrer og konkurranseformer;https://www.anskaffelser.no/anskaffelsesregelverk/anskaffelsesprosedyrer;Ingen tydelig dato i kartleggingen;Avklarer forhandlingsrom, kvalifikasjonsfase, dialog, rammeavtale og dynamisk innkjøpsordning;Middels, feil antakelse om prosedyre kan gi taktisk feil tilbud;ja;;Må leses mot konkurransegrunnlaget
REG-009;Regelverksagent;Avvisning;FOA-regler og DFØ-veiledning om avvisning av leverandør eller tilbud;https://www.anskaffelser.no/veileder-til-reglene-om-offentlige-anskaffelser/36-avvisning;Løpende DFØ-veileder, viser til NOU 2024:9;Brukes som sjekkliste for formalia, kvalifikasjon, forbehold, avvik, dokumentasjon og frist;Svært høy, konkret vurdering kan avgjøre konkurransen;ja;;Må alltid fagvurderes
REG-010;Regelverksagent;Tildeling;Tildelingskriterier, evaluering, meddelelse og karens;https://lovdata.no/dokument/SF/forskrift/2016-08-12-974;Kontroller gjeldende Lovdata-versjon ved bruk;Styrer hvordan tilbud bør dokumentere pris, kvalitet, miljø, fremdrift og kompetanse;Svært høy, feiltolkning av kriterier eller dokumentasjonskrav kan gi lav score eller avvisning;ja;;Må knyttes til konkret evalueringsmodell
REG-011;Regelverksagent;Endringer 2026-07-01;Vedtatte endringer i anskaffelsesloven og forskrifter;https://www.anskaffelser.no/anskaffelsesregelverk/lov-og-forskrifter/stortinget-har-vedtatt-endringer-i-anskaffelsesloven;Stortinget vedtok 2026-02-05, de fleste endringer fra 2026-07-01;Innslagspunkt økes til 500 000 kroner ekskl. mva. og samfunnshensyn samles tydeligere;Høy, DFØ presiserer at ikke alt trer i kraft samtidig;ja;2026-07-01;Kontroller også departementskilde og Lovdata
REG-012;Regelverksagent;Departementskilde 2026-endringer;NFD/regjeringen om forskriftsendringer;https://www.regjeringen.no/no/aktuelt/endringer-i-anskaffelsesregelverket/id3156716/;Nyhet 2026-04-21;Bekrefter endringer i FOA, forsyningsforskriften og konsesjonskontraktforskriften;Høy, konkurransens kunngjøringstidspunkt kan styre regelversjon;ja;2026-07-01;Bruk som støtte til Lovdata/DFØ
DFO-001;DFØ-agent;Anskaffelsesprosess;DFØs prosessmodell fra behov til konkurranse, kontrakt og evaluering;https://www.anskaffelser.no/anskaffelsesprosess/anskaffelsesprosessen-steg-steg;Ingen tydelig dato i kartleggingen;Gir kontekst for behovsforståelse, spørsmål, dokumentasjon og tilbudsstrategi;Middels, prosessen er veiledning og primært oppdragsgiverrettet;ja;;Ikke bindende rettsregel alene
DFO-002;DFØ-agent;Forberedelsesfase;Avklare behov og forberede konkurransen;https://www.anskaffelser.no/anskaffelsesprosess/anskaffelsesprosessen-steg-steg/avklare-behov-og-forberede-konkurransen;Oppdatert 2026-01-26;Forklarer behov, markedsdialog, risiko og konkurransegrunnlag før kunngjøring;Middels/høy, markedsdialog kan reise likebehandling og habilitet;ja;;Relevant for tidlig posisjonering
DFO-003;DFØ-agent;Konkurransegrunnlag;Behov, ytelse, krav, konkurransevilkår og anskaffelsesdokumenter;https://www.anskaffelser.no/anskaffelsesprosess/anskaffelsesprosessen-steg-steg/avklare-behov-og-forberede-konkurransen/konkurransegrunnlag;Oppdatert 2024-06-26;Tilbud bør struktureres mot krav, kriterier, frister, dokumentasjon, kontraktsvilkår og vedståelsesfrist;Høy, uklarheter og fristbrudd kan gi avvisning eller svak evaluering;ja;;Kjernepunkt for senere kravmatrise
DFO-004;DFØ-agent;Krav, kriterier og kontraktsvilkår;Skille mellom absolutte krav, tildelingskriterier og gjennomføringsvilkår;https://www.anskaffelser.no/anskaffelsesprosess/anskaffelsesprosessen-steg-steg/avklare-behov-og-forberede-konkurransen/kravspesifikasjoner-tildelingskriterier-og-kontraktsvilkar;Oppdatert 2025-10-30;Tilbud må vise oppfyllelse, dokumenterbar merverdi og plan for kontraktsvilkår;Høy, sammenblanding gir feil tilbudsstrategi;ja;;Viktig for LLM-dommer
DFO-005;DFØ-agent;Ytelses- og funksjonsspesifikasjoner;Veiledere og sjekkliste for funksjonelle spesifikasjoner;https://www.anskaffelser.no/verktoy/veiledere/ytelses-og-funksjonsspesifikasjoner-veiledere-og-sjekkliste;Oppdatert 2026-03-25, veiledningen ikke oppdatert siden 2016;Hjelper tilbudet å svare på resultat og funksjon fremfor detaljert løsning;Middels, eldre veiledningsinnhold må kontrolleres;ja;;Nyttig ved alternative løsninger
DFO-006;DFØ-agent;Innsyn og offentlighet;Offentleglova, innsyn, unntak og tidsmessige avgrensninger;https://www.anskaffelser.no/nn/anskaffelsesregelverk/innsyn-og-offentlegheit;Oppdatert 2025-09-15;Tilbyder bør planlegge sladding og begrunnelse for forretningshemmeligheter;Høy, for bred eller svak sladding kan gi konflikt eller lekkasjerisiko;ja;;Oppdragsgiver gjør selvstendig vurdering
DFO-007;DFØ-agent;Taushetsplikt;Taushetsplikt om personlige forhold og forretningshemmeligheter;https://www.anskaffelser.no/anskaffelsesregelverk/taushetsplikt-og-offentlige-anskaffelser;Oppdatert 2025-09-15;Tilbud bør merke konkrete forretningshemmeligheter og eventuelt levere sladdet versjon;Høy, leverandørens merking er ikke avgjørende alene;ja;;Må kombineres med innsynsregler
DFO-008;DFØ-agent;Klage;Klage til oppdragsgiver, KOFA, domstol eller ESA;https://www.anskaffelser.no/anskaffelsesregelverk/klage-pa-offentlig-anskaffelse;Oppdatert 2026-03-16;Gir kontrollpunkt for rask vurdering før kontrakt signeres;Høy, frister og prosessvalg er tidskritiske;ja;;Krever juridisk vurdering i konkrete saker
DFO-009;DFØ-agent;Kontraktsoppfølging;Oppfølging av ytelse, avvik, garantier, opsjoner, endringer og dokumentasjon;https://www.anskaffelser.no/anskaffelsesprosess/anskaffelsesprosessen-steg-steg/kontraktsoppfolging;Oppdatert 2024-02-19;Tilbud bør prise og planlegge rapportering, avvik, garantier og endringshåndtering;Høy, vesentlige endringer etter kontrakt kan gi anskaffelsesrettslig risiko;ja;;Relevant allerede i tilbudsfasen
DOF-001;Doffin/TED-agent;Doffin;Nasjonal kunngjøringsdatabase for offentlige anskaffelser;https://www.doffin.no/;Ikke synlig, JS-app;Primær inngang for norske konkurranser, dokumenter, frister og kunngjøringer;Middels/høy, søk og filtre kan gi ufullstendig treffbilde;ja;;Kontroller alltid original kunngjøring og konkurransegrunnlag
DOF-002;Doffin/TED-agent;Doffin data;Doffindata for sanntidsinnsikt i kunngjøringer;https://www.doffin.no/data;Ikke synlig, JS-app;Nyttig for overvåkning, markedskartlegging, CPV-søk og historiske mønstre;Middels, ikke fasit for rettigheter eller frister;ja;;Brukes som datakilde, ikke regelkilde
DOF-003;Doffin/TED-agent;Doffin-statistikk;Kunngjøringer av konkurranser på Doffin;https://www.anskaffelser.no/data-statistikk-og-analyse/kunngjoringer-av-konkurranser;Oppdatert 2026-04-23;Viser volum, terskel, kontraktstype, CPV-fordeling og estimert verdi;Middels, teller kunngjøringer og påvirkes av datakvalitet;ja;;Statistikk, ikke komplett rettslig bilde
DOF-004;Doffin/TED-agent;Kontraktstildeling;Kunngjøring av kontrakt og kontraktstildeling på Doffin;https://www.anskaffelser.no/data-statistikk-og-analyse/kunngjoring-av-kontrakt;2024/2025-statistikk omtalt, eForms-metode;Brukes til etterkontroll av marked, vinnere, avlysninger og delkontrakter;Middels, kobling via Procedure Identifier og manglende resultatkunngjøringer kan gi usikkerhet;ja;;Ikke komplett marked alene
DOF-005;Doffin/TED-agent;eForms via Doffin;Nye kunngjøringsskjemaer og eForms i Doffin;https://www.doffin.no/info/introeforms;Ikke synlig, JS-app;Forklarer norske kunngjøringsskjemaer etter overgang til eForms;Middels, lokale felt og oversettelser kan påvirke tolkning;ja;;Bruk sammen med TED SDK
TED-001;Doffin/TED-agent;TED;EU Tenders og Supplement to the Official Journal;https://ted.europa.eu/en/;Latest OJ S issue vist som S111/2026, 2026-06-11;Primær kilde for EØS/EU-kunngjøringer over relevante terskler;Middels/høy, søk må avgrenses på land, CPV, frister og notice type;ja;;Relevant for norske kunngjøringer sendt til TED
TED-002;Doffin/TED-agent;TED API og bulkdata;TED Developers corner, API, direkte nedlasting og XML bulk;https://ted.europa.eu/en/simap/developers-corner-for-reusers;Omtaler eForms/TED schema fra 2022-11-14;Grunnlag for automatisert innhenting av XML, PDF/HTML og historiske pakker;Middels/høy, format og schema varierer mellom eForms og eldre TED;ja;;Valider mot publisert kunngjøring
TED-003;Doffin/TED-agent;eForms standard;EU eForms standard og formtyper;https://ted.europa.eu/en/simap/eforms;eForms obligatorisk fra oktober 2023, Regulation 2019/1780 med endringer;Forklarer planning, competition, result/award, change og andre notice-typer;Middels, standardforklaring er ikke norsk juridisk vurdering;ja;;Teknisk og prosessuell kilde
TED-004;Doffin/TED-agent;eForms SDK;TED Developer Docs for eForms SDK;https://docs.ted.europa.eu/eforms/latest/index.html;eForms SDK 1.14;Teknisk fasit for felt, schemas, codelists, validering og visning;Middels/høy, SDK-versjon påvirker feltlogikk og validering;ja;;Kontroller aktiv SDK-versjon
TED-005;Doffin/TED-agent;Notice forms;Documents, forms and notices i eForms;https://docs.ted.europa.eu/eforms/latest/schema/documents-forms-and-notices.html;eForms SDK 1.14;Kartlegger competition notices, result/CAN, change notices og notice subtypes;Middels/høy, feil subtype kan gi feil tolkning av krav, frister eller resultat;ja;;Brukes for parser og datamodell
TED-006;Doffin/TED-agent;eForms versjoner;Active SDK versions og lifespan;https://docs.ted.europa.eu/eforms-common/active-versions/index.html;Aktive SDK-versjoner 1.12, 1.13, 1.14, 1.14 lifespan til 2026-12-02;Viktig for tekniske løsninger som parser eller validerer kunngjøringer;Middels, TED API bør brukes som single source of truth;ja;;Versjonsstyring nødvendig
TED-007;Doffin/TED-agent;CPV;Common Procurement Vocabulary;https://single-market-economy.ec.europa.eu/single-market/public-procurement/digital-procurement/common-procurement-vocabulary_en;CPV-kodelister i Regulation EC 213/2008;Brukes til å finne relevante konkurranser, særlig bygg/anlegg kodegruppe 45;Middels, feil eller for bred CPV kan gi tapte konkurranser eller støy;ja;;Kontroller alltid tekstlig beskrivelse
BAE-001;BAE-agent;BAE hovedside;DFØ bygg, anlegg og eiendom;https://www.anskaffelser.no/kategorispesifik-veiledning/bygg-anlegg-og-eiendom-bae;Aktuelt publisert/oppdatert 2026 i kartleggingen;Startpunkt for BAE-spesifikk veiledning, FDV, modeller, kontrakter og miljøkriterier;Middels/høy, feil bruk kan gi mangelfullt tilbudsgrunnlag;ja;;Navigasjons- og veiledningskilde
BAE-002;BAE-agent;Byggeprosess;DFØ byggeprosessen steg for steg;https://www.anskaffelser.no/anskaffelsesprosess/byggeprosessen;Ingen tydelig siderevisjon i kartleggingen;Ramme for faser fra behov til overlevering, ansvar og dokumentasjon;Middels/høy, fase- og ansvarsforståelse påvirker pris, risiko og forbehold;ja;;Prosesskilde for bygg/anlegg
BAE-003;BAE-agent;Kontraktsstandarder;Standard Norge kontraktsstandarder for BAE;https://standard.no/fagomrader/kontraktstandarder-bygg-anlegg-og-eiendom/;Eksempler NS 8407:2011, NS 8406:2009, NS 8405:2008;Identifiserer vanlige kontraktstyper, totalentreprise, utførelsesentreprise og underentreprise;Høy, betalt standardtekst må ikke omskrives eller gjengis feil;ja;;Kun referanse på overordnet nivå
BAE-004;BAE-agent;NS 3420;Beskrivelser og mengder;https://standard.no/fagomrader/ns-3420-/;NS 3420:2024 nevnt i kartleggingen;Brukes for prisforespørsler, mengdelister, tekniske beskrivelser, kalkyle og avregning;Høy, feilkoding eller uklare poster kan gi tvist om omfang og pris;ja;;Krever faglig mengde- og kalkylekontroll
BAE-005;BAE-agent;Eurokoder;Standard Norge Eurokoder;https://standard.no/fagomrader/eurokoder/;Første generasjon gjelder inntil ny generasjon forventes 2027-2028;Relevant for konstruksjonssikkerhet og prosjektering;Svært høy, feil standard eller nasjonalt tillegg kan gi alvorlig prosjekteringsrisiko;ja;;Teknisk fagverifisering nødvendig
BAE-006;BAE-agent;SHA/HMS;Arbeidstilsynet byggherreforskriften;https://www.arbeidstilsynet.no/regelverk/forskrifter/byggherreforskriften/;Publisert 2009-08-07, i kraft 2010-01-01, sist endret FOR-2023-08-29-1367;Tilbudsgrunnlag bør håndtere risikoforhold, SHA-plan, koordinering, fremdrift og roller;Høy, mangelfull SHA kan gi avvisning, kostnadsrisiko, stans eller ansvar;ja;;Skille SHA fra intern HMS der relevant
BAE-007;BAE-agent;FDV/FDVU;DFØ forvaltning, drift og vedlikehold;https://www.anskaffelser.no/nn/kategorispesifik-veiledning/bygg-anlegg-og-eiendom-bae/forvalting-drift-og-vedlikehald-fdvu;Oppdatert 2025-09-24;Relevant for FDV-system, vedlikeholdsplan, avvik, driftsansvar og overtakelse;Middels/høy, uklare FDV-krav kan gi leveranse- og livsløpskostnadsrisiko;ja;;Viktig for overlevering
BAE-008;BAE-agent;TEK17;DIBK byggteknisk forskrift;https://www.dibk.no/regelverk/byggteknisk-forskrift-tek17;Veiledningstekst og endringslogg per bestemmelse;Gir kravstruktur for teknisk dokumentasjon, ytre miljø, avfall og klimagassregnskap;Svært høy, tilbud må ikke love teknisk samsvar uten prosjekteringskontroll;ja;;Teknisk regelverk, ikke anskaffelsesregel alene
BAE-009;BAE-agent;SAK10;DIBK byggesaksforskriften;https://www.dibk.no/regelverk/sak/;Ingen tydelig siderevisjon i kartleggingen;Relevant for søknadsdokumentasjon, gjennomføringsplan og FDV-overlevering;Høy, mangler kan påvirke tillatelser, ferdigstillelse og overlevering;ja;;Byggesaksfaglig kontroll nødvendig
BAE-010;BAE-agent;Byggevarer;DIBK DOK og byggevareforskriften;https://www.dibk.no/regelverk/dok/;Ingen tydelig siderevisjon i kartleggingen;Avklarer produktdokumentasjon, CE-merking og ytelseserklæring før innbygging;Høy, feil produktdokumentasjon kan gi avvik, utskifting eller byggesaksrisiko;ja;;Relevant for materialvalg og dokumentasjon
SAM-001;Samfunnshensyn-agent;Klima og miljø;DFØ hovedside om klima og miljø i offentlige anskaffelser;https://www.anskaffelser.no/samfunnshensyn-i-offentlige-anskaffelser/klima-og-miljo-i-offentlige-anskaffelser;Kartlagt 2026-06-11;Inngang til klima- og miljørisiko, kriterieveiviser og 30 prosent-regel;Høy, miljøkrav og kriterier må leses mot konkurransegrunnlaget;ja;;Relevant for BAE
SAM-002;Samfunnshensyn-agent;30 prosent-regelen;DFØ-veileder til regler om klima- og miljøhensyn, FOA § 7-9;https://www.anskaffelser.no/maler-veiledere-eksempler-og-andre-verktoy/veiledere/veileder-til-regler-om-klima-og-miljohensyn-i-offentlige-anskaffelser/3-anskaffelsesforskriften-reglene-som-gjelder;Regelendring fra 2024-01-01, endringslogg mai 2024 og juli 2025;Tilbud bør svare konkret på klima/miljø når vekt er minst 30 prosent eller erstattet av krav;Høy, feil skille mellom vekting, krav og dokumentasjon kan gi evaluerings- eller avvisningsrisiko;ja;;Må vurderes mot faktisk konkurranse
SAM-003;Samfunnshensyn-agent;Klima og miljø i BAE;DFØ-veileder kapittel 9 om BAE-bruk av reglene;https://www.anskaffelser.no/maler-veiledere-eksempler-og-andre-verktoy/veiledere/veileder-til-regler-om-klima-og-miljohensyn-i-offentlige-anskaffelser/9-bygg-anlegg-og-eiendom-bruk-av-reglene;Veileder viser endringslogg juli 2025;Tilbud kan måtte dekke lavutslippsmaterialer, utslippsfri byggeplass, ombruk, avfall og massetransport;Høy, miljøløfter uten målbar dokumentasjon gir lav score eller gjennomføringsrisiko;ja;;Svært relevant for bygg/anlegg
SAM-004;Samfunnshensyn-agent;Kriterieveiviseren;DFØ verktøy for krav og kriterier;https://kriterieveiviseren.anskaffelser.no/;Ikke synlig på JS-forsiden;Gir standardiserte forslag til krav, dokumentasjon og tildelingskriterier;Middels/høy, kriterier må tilpasses konkurransegrunnlaget;ja;;Ikke ukritisk gjenbruk
SAM-005;Samfunnshensyn-agent;Seriøsitetsbestemmelser;Omforente seriøsitetsbestemmelser for bygg og anlegg;https://www.anskaffelser.no/verktoy/maler/seriositetsbestemmelser-bygg-og-anleggskontrakter-og-sjekkliste-oppfolging;Oppdatert 2025-04-11;Tilbyder bør dokumentere lønns- og arbeidsvilkår, faglærte, lærlinger, SHA/HMS, UE-bruk og kontroll;Høy, mismatch mellom bemanning, UE-kjede og vilkår gir sanksjonsrisiko;ja;;Teknisk revisjon etter seriøsitetskrav fra 2024-01-01
SAM-006;Samfunnshensyn-agent;Lønns- og arbeidsvilkår;DFØ kontraktsvilkår og risikostyringsverktøy;https://www.anskaffelser.no/verktoy/maler/kontraktsvilkar-lonns-og-arbeidsvilkar;Kontraktsvilkår oppdatert 2025-09-29;Leverandør må ha rutiner og dokumentasjon for lønn, arbeidstid, OTP, underleverandører og kontroll;Høy, brudd eller svake rutiner kan gi alvorlig kontraktsrisiko;ja;;Se også DFØ risikostyringsverktøy
SAM-007;Samfunnshensyn-agent;Risikostyring lønns- og arbeidsvilkår;DFØ risikostyringsverktøy for lønns- og arbeidsvilkår;https://www.anskaffelser.no/verktoy/analyseverktoy/risikostyringsverktoy-lonns-og-arbeidsvilkar;Oppdatert 2025-01-23;Gir sjekkpunkter for risikovurdering og kontraktsoppfølging;Høy, stedlig kontroll og innsyn må være kontraktsmessig forankret;ja;;Relevant ved seriøsitetskontroll
SAM-008;Samfunnshensyn-agent;Lærlinger;DFØ veileder om bruk av lærlinger i offentlige kontrakter;https://www.anskaffelser.no/anskaffelsesregelverk/krav-om-bruk-av-laerlinger-i-offentlige-kontrakter/veileder-om-bruk-av-laerlinger-i-offentlige-kontrakter;Endringer i kraft 2025-08-01, kapittel oppdatert 2026-03-12;Tilbud bør avklare lærlingordning, faktisk kapasitet og dokumentasjon/timelister;Høy, feil vurdering av fag, varighet, terskel, uforholdsmessighet eller tilgang gir gjennomføringsrisiko;ja;;Må kobles til kontraktens arbeid
SAM-009;Samfunnshensyn-agent;Betaling via bank;Krav om betaling via bank eller betalingsforetak i bygg/anlegg og renhold;https://www.anskaffelser.no/verktoy/veileder/krav-om-betaling-bank;Ingen tydelig dato i kartleggingen;Leverandør og UE bør kunne dokumentere sporbare lønnsutbetalinger;Høy, kontantbetaling eller manglende dokumentasjon kan gi avvik;ja;;Relevant ved kontraktsoppfølging
SAM-010;Samfunnshensyn-agent;Leverandørkjede og sosial dumping;Norgesmodellen, leddbegrensning, bankbetaling, lønns-/arbeidsvilkår og lærlinger;https://www.anskaffelser.no/samfunnshensyn-i-offentlige-anskaffelser/arbeidslivskriminalitet-og-sosial-dumping/norgesmodellen;Kartlagt 2026-06-11;Tilbyder bør beskrive UE-struktur, kontrollrutiner og seriøsitetsarbeid;Høy, for mange ledd eller uklare roller øker avviks- og kontraktsbruddsrisiko;ja;;Se også DFØ hovedside om arbeidslivskriminalitet
KOFA-001;KOFA/praksis-agent;KOFA;Klagenemnda for offentlige anskaffelser;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa;Kartlagt 2026-06-11;Brukes til praksis og klageforståelse, særlig avvisning, evaluering og direkte anskaffelse;Høy, praksis må leses i fulltekst og mot faktum;ja;;Ikke generell regel alene
KOFA-002;KOFA/praksis-agent;Dokumentasjon og avklaring;KOFA utvalgt sak 2020/515 om dialog etter tilbudsfrist og kvalifikasjonskrav;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2020-06-15;Varsler at mangelfull dokumentasjon og ikke-oppfylt kvalifikasjonskrav må skilles;Høy, etterfølgende reparasjon kan være problematisk;ja;;Les full sak før bruk
KOFA-003;KOFA/praksis-agent;Ettersending og avklaring;DFØ kapittel 35 om avklaringsadgangen;https://www.anskaffelser.no/veileder-til-reglene-om-offentlige-anskaffelser/35-ettersendings-og-avklaringsadgangen;Løpende DFØ-veileder;Kontrollpunkt for om noe kan avklares, ettersendes eller må stå ved lag;Høy, små formuleringer kan endre tilbudets innhold;ja;;Knyttes til avvisningskort REG-009
KOFA-004;KOFA/praksis-agent;Evaluering;KOFA utvalgt sak 2019/589 om evalueringsmodell og tildelingskriterier;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2019-09-20;Nyttig for å forstå svar på pris, kvalitet og organisasjon når modellen bruker prisfradrag eller lignende;Middels/høy, evaluering beror på konkurransegrunnlaget;ja;;Les full sak før bruk
KOFA-005;KOFA/praksis-agent;Ulovlig direkte anskaffelse rammeavtale;KOFA utvalgt sak 2021/615 om minikonkurranse og avrop;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2021-05-05;Relevant ved vurdering av avrop, fordelingsnøkkel og rammeavtalens hjemmel;Høy, avrop uten klar hjemmel kan gi klagerisiko;ja;;Les full sak før bruk
KOFA-006;KOFA/praksis-agent;Vesentlig endring;KOFA utvalgt sak 2018/7 om skytjenester som endring av rammeavtale;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/utvalgte-saker;2018-01-12;Viktig ved opsjoner, fremtidige behov og hva som faktisk er konkurranseutsatt;Høy, endring eller avrop kan vurderes som ny anskaffelse;ja;;Les full sak før bruk
KOFA-007;KOFA/praksis-agent;Gebyrpraksis bygg/anlegg;KOFA nyhet om gebyr for ulovlig direkte anskaffelse av bygge- og anleggsarbeider;https://www.klagenemndssekretariatet.no/klagenemda-for-offentlige-anskaffelser-kofa/kofa-aktuelt/gebyr-for-ulovlig-direkte-anskaffelse-av-bygge-og-anleggsarbeider;Nyhet 2026-03-30, vedtak 2026-03-27;Viser at bygg/anlegg er aktivt område for gebyr ved direkte anskaffelse;Høy, bare praksisindikator og ikke generell regel;ja;;Les vedtaket ved konkret bruk
RES-001;Forskning-agent;NOU 2023:26;Ny lov om offentlige anskaffelser, første delutredning;https://www.regjeringen.no/no/dokumenter/nou-2023-26/id3013726/;Avgitt 2023-11-10;Bakgrunn for foreslått struktur, formål, samfunnshensyn og forenkling;Høy, forslag er ikke automatisk gjeldende rett;ja;;Reformmateriale
RES-002;Forskning-agent;NOU 2024:9;Ny lov om offentlige anskaffelser, andre delutredning, blant annet avvisning;https://www.regjeringen.no/no/dokumenter/nou-2024-9/id3039569/;2024;Bakgrunn for avvisningsregler og KOFA-klager;Høy, må skilles fra gjeldende regler;ja;;Reformmateriale
RES-003;Forskning-agent;Anskaffelsesundersøkelsen;DFØ anskaffelsesundersøkelsen 2024;https://www.anskaffelser.no/innkjopsledelse/anskaffelsesundersokelsen;Oppdatert 2024-06-20;Gir kontekst om modenhet, kompetanse, digitalisering, klima/miljø og prosesskvalitet;Middels, statistikk og undersøkelse er ikke rettskilde;ja;;Metode- og modenhetskilde
RES-004;Forskning-agent;LLM juridisk kvalitet;Large Legal Fictions, legal hallucinations in LLMs;https://arxiv.org/abs/2401.01301;2024-01-02;Relevant ved bruk av LLM til regeloppsummeringer, rettskildehenvisninger og tilbudstekst;Høy, LLM-output kan inneholde falske kilder eller feil premisser;ja;;Metodekilde for LLM-dommer
RES-005;Forskning-agent;LLM hallucination evaluation;HaluEval benchmark for hallucination evaluation;https://arxiv.org/abs/2305.11747;2023-05-19;Relevant for QA av AI-generert tilbudsinnhold mot kildedokumenter;Middels/høy, metodekilde og ikke anskaffelsesrett;ja;;Brukes kun metodisk
